Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	20272	Gibbs, Jahmyr	DET	RB	1.59	1	6		871		
2	20271	Robinson, Bijan	ATL	RB	1.64	1	7		871		
3	18775	Chase, Ja'Marr	CIN	WR	3.21	1	11		871		
4	20336	Nacua, Puka	LA	WR	4.44	1	16		871		
5	20273	Smith-Njigba, Jaxon	SEA	WR	5.82	3	17		871		
6	15222	McCaffrey, Christian	SF	RB	6.63	2	21		871		
7	18827	St. Brown, Amon-Ra	DET	WR	7.53	3	21		871		
8	17962	Taylor, Jonathan	IND	RB	8.44	3	26		871		
9	22055	Jeanty, Ashton	LV	RB	10.57	3	29		871		
10	19467	Cook III, James	BUF	RB	11.45	3	34		871		
11	17965	Lamb, CeeDee	DAL	WR	11.68	5	30		871		
12	17972	Jefferson, Justin	MIN	WR	12.61	6	36		871		
13	22069	Hampton, Omarion	LAC	RB	14.39	3	33		871		
14	20284	Achane, De'Von	MIA	RB	14.93	6	41		871		
15	20292	Brown, Chase	CIN	RB	15.34	6	38		871		
16	16062	Barkley, Saquon	PHI	RB	17.76	8	45		871		
17	19433	London, Drake	ATL	WR	18.83	5	42		871		
18	19430	Walker III, Kenneth	KC	RB	19.31	6	49		871		
19	21123	Bowers, Brock	LV	TE	22.05	8	54		871		
20	15055	Henry, Derrick	BAL	RB	23.35	10	48		871		
21	19439	McBride, Trey	ARZ	TE	23.53	4	54		871		
22	17004	Brown, A.J.	NE	WR	23.71	7	66		871		
23	18836	Collins, Nico	HOU	WR	24.82	13	54		871		
24	19437	Pickens, George	DAL	WR	25.11	13	54		871		
25	22930	Love, Jeremiyah	ARZ	RB	25.69	5	60		871		
26	16074	Allen, Josh	BUF	QB	28.06	1	60		871		
27	20287	Rice, Rashee	KC	WR	28.37	11	70		871		
28	19432	Olave, Chris	NO	WR	29.35	13	64		871		
29	19450	Williams, Kyren	LA	RB	32.93	17	61		871		
30	19427	Hall, Breece	NYJ	RB	33.01	3	67		871		
31	21122	Nabers, Malik	NYG	WR	33.42	11	82		871		
32	18778	Smith, DeVonta	PHI	WR	35.35	15	89		871		
33	18771	Williams, Javonte	DAL	RB	35.79	16	66		871		
34	22059	McMillan, Tetairoa	CAR	WR	36.67	23	68		871		
35	20288	Flowers, Zay	BAL	WR	36.68	18	82		871		
36	16998	Jacobs, Josh	GB	RB	37.38	18	69		871		
37	17971	Higgins, Tee	CIN	WR	37.76	22	71		871		
38	22063	Egbuka, Emeka	TB	WR	38.25	13	83		871		
39	19431	Wilson, Garrett	NYJ	WR	38.85	24	74		871		
40	18770	Etienne Jr., Travis	NO	RB	39.95	17	73		871		
41	21139	McConkey, Ladd	LAC	WR	40.66	14	82		871		
42	22060	Burden III, Luther	CHI	WR	45.27	25	83		871		
43	22075	Loveland, Colston	CHI	TE	45.92	24	83		871		
44	22077	Skattebo, Cam	NYG	RB	46.14	25	84		871		
45	18781	Waddle, Jaylen	DEN	WR	46.77	26	89		871		
46	17062	McLaurin, Terry	WAS	WR	49.73	28	90		871		
47	22072	Henderson, TreVeyon	NE	RB	50.75	22	88		871		
48	17016	Montgomery, David	HOU	RB	51.56	25	128		871		
49	19435	Williams, Jameson	DET	WR	51.69	31	92		871		
50	12729	Adams, Davante	LA	WR	51.79	29	91		871		
51	21136	Irving, Bucky	TB	RB	53.42	19	91		871		
52	22062	Judkins, Quinshon	CLE	RB	53.64	29	83		871		
53	17961	Swift, D'Andre	CHI	RB	54.61	32	93		871		
54	17968	Burrow, Joe	CIN	QB	54.86	2	93		871		
55	16081	Jackson, Lamar	BAL	QB	54.88	2	109		871		
56	19445	Watson, Christian	GB	WR	55.44	26	96		871		
57	12686	Evans, Mike	SF	WR	55.82	30	93		871		
58	21125	Maye, Drake	NE	QB	56.46	3	103		871		
59	20335	Odunze, Rome	CHI	WR	58.92	34	93		871		
60	16134	Moore, DJ	BUF	WR	59.53	34	140		871		
61	22067	Warren, Tyler	IND	TE	60.61	23	103		871		
62	22106	Tuten, Bhayshul	JAX	RB	62.31	28	138		871		
63	22929	Tate, Carnell	TEN	WR	64.21	37	107		871		
64	21121	Harrison Jr., Marvin	ARZ	WR	69.36	39	107		871		
65	21126	Daniels, Jayden	WAS	QB	71.47	6	137		871		
66	21131	Thomas Jr., Brian	JAX	WR	71.66	39	120		871		
67	22938	Price, Jadarian	SEA	RB	71.98	37	167		870		
68	19833	Warren, Jaylen	PIT	RB	72.12	46	115		871		
69	17002	Metcalf, DK	PIT	WR	73.24	51	108		871		
70	21124	Williams, Caleb	CHI	QB	73.87	7	131		871		
71	16066	Sutton, Courtland	DEN	WR	75.00	29	111		871		
72	20291	Washington, Parker	JAX	WR	75.83	36	141		871		
73	19463	Pierce, Alec	IND	WR	78.26	48	120		871		
74	17976	Herbert, Justin	LAC	QB	78.47	8	120		871		
75	18773	Hubbard, Chuba	CAR	RB	78.55	38	132		871		
76	17999	Hurts, Jalen	PHI	QB	78.73	8	138		871		
77	22111	Harvey, RJ	DEN	RB	80.08	29	122		871		
78	22931	Tyson, Jordyn	NO	WR	80.35	49	134		871		
79	18779	Lawrence, Trevor	JAX	QB	82.24	10	141		871		
80	17067	Pollard, Tony	TEN	RB	82.41	48	144		871		
81	18791	Stevenson, Rhamondre	NE	RB	83.02	46	119		871		
82	14553	Prescott, Dak	DAL	QB	83.11	8	144		871		
83	20312	Kraft, Tucker	GB	TE	84.00	48	123		871		
84	22095	Fannin Jr., Harold	CLE	TE	85.52	53	128		871		
85	18789	Pitts Sr., Kyle	ATL	TE	86.50	32	131		871		
86	20340	Wilson, Michael	ARZ	WR	86.75	37	129		871		
87	20276	Johnston, Quentin	LAC	WR	88.85	47	131		871		
88	17995	Pittman Jr., Michael	PIT	WR	89.63	49	125		871		
89	18036	Dowdle, Rico	PIT	RB	92.36	60	130		871		
90	22087	Dart, Jaxson	NYG	QB	93.42	4	169		871		
91	7697	Stafford, Matthew	LA	QB	93.82	13	154		871		
92	22119	Monangai, Kyle	CHI	RB	93.88	53	136		871		
93	22932	Lemon, Makai	PHI	WR	94.12	59	152		871		
94	15316	Godwin Jr., Chris	TB	WR	94.18	56	140		871		
95	18772	Gainwell, Kenny	TB	RB	94.92	38	142		871		
96	20339	LaPorta, Sam	DET	TE	96.86	60	130		871		
97	19742	Purdy, Brock	SF	QB	96.92	17	160		871		
98	20278	Corum, Blake	LA	RB	97.93	65	153		871		
99	17061	Meyers, Jakobi	JAX	WR	98.29	64	136		871		
100	19460	Robinson, Wan'Dale	TEN	WR	100.52	60	138		871		
101	17963	Dobbins, J.K.	DEN	RB	101.35	55	173		869		
102	14748	Goff, Jared	DET	QB	101.63	17	165		871		
103	15234	Mahomes, Patrick	KC	QB	102.23	21	173		871		
104	20299	Nix, Bo	DEN	QB	105.10	19	173		871		
105	20274	Addison, Jordan	MIN	WR	106.13	68	154		871		
106	20283	Downs, Josh	IND	WR	106.14	61	179		871		
107	21133	Brooks, Jonathon	CAR	RB	107.20	55	213		861		
108	20311	Reed, Jayden	GB	WR	108.18	68	169		871		
109	19436	White, Rachaad	WAS	RB	109.39	63	220		864		
110	16069	Mayfield, Baker	TB	QB	115.22	32	185		871		
111	19872	Mason, Jordan	MIN	RB	116.24	80	176		866		
112	22114	Higgins, Jayden	HOU	WR	116.72	72	158		871		
113	22220	Shough, Tyler	NO	QB	117.33	27	199		870		
114	15360	Kittle, George	SF	TE	118.87	49	195		866		
115	19476	Ferguson, Jake	DAL	TE	119.24	75	161		871		
116	21128	Worthy, Xavier	KC	WR	119.51	61	176		869		
117	17009	Murray, Kyler	MIN	QB	119.95	20	215		868		
118	17997	Love, Jordan	GB	QB	120.20	30	216		870		
119	19455	Doubs, Romeo	NE	WR	121.35	67	174		871		
120	22085	Golden, Matthew	GB	WR	122.01	66	183		868		
121	11842	Kelce, Travis	KC	TE	122.52	63	172		870		
122	20300	Kincaid, Dalton	BUF	TE	123.73	78	167		869		
123	19462	Shakir, Khalil	BUF	WR	124.56	64	166		871		
124	21146	Pearsall, Ricky	SF	WR	124.58	61	342		741		
125	22130	Croskey-Merritt, Jacory	WAS	RB	125.03	73	171		853		
126	19464	Likely, Isaiah	NYG	TE	126.90	72	192		871		
127	16151	Goedert, Dallas	PHI	TE	130.16	72	166		870		
128	22933	Concepcion, KC	CLE	WR	130.51	77	208		862		
129	15392	Jones Sr., Aaron	MIN	RB	130.52	81	224		853		
130	21570	Coker, Jalen	CAR	WR	130.65	86	187		870		
131	21183	Tracy Jr., Tyrone	NYG	RB	134.28	96	176		845		
132	16075	Andrews, Mark	BAL	TE	136.28	97	173		864		
133	13671	Diggs, Stefon	WAS	WR	137.08	61	212		863		
134	19441	Allgeier, Tyler	ARZ	RB	139.24	68	234		853		
135	19934	Shaheed, Rashid	SEA	WR	142.28	87	197		867		
136	22101	Gadsden, Oronde	LAC	TE	142.53	78	220		850		
137	19458	Willis, Malik	MIA	QB	143.10	39	239		841		
138	22109	Marks, Woody	HOU	RB	143.58	49	209		838		
139	20308	Rodriguez Jr., Chris	JAX	RB	144.75	81	292		837		
140	16077	Darnold, Sam	SEA	QB	145.32	33	240		842		
141	4343	Texans, Houston	HOU	TDSP	146.31	89	185		871		
142	20280	Stroud, C.J.	HOU	QB	149.63	36	240		791		
143	22941	Coleman, Jonah	DEN	RB	151.81	81	209		832		
144	20310	Ward, Cam	TEN	QB	152.23	50	240		828		
145	18582	Johnson, Juwan	NO	TE	152.48	78	232		862		
146	20425	Strange, Brenton	JAX	TE	152.91	97	237		852		
147	20344	Mitchell, Keaton	LAC	RB	153.92	100	236		831		
148	19469	Charbonnet, Zach	SEA	RB	155.28	50	301		832		
149	1996	Rams, Los Angeles (LAR)	LA	TDSP	156.98	98	197		871		
150	21153	McMillan, Jalen	TB	WR	157.45	94	238		837		
151	22934	Boston, Denzel	CLE	WR	158.22	82	284		842		
152	17008	Jones, Daniel	IND	QB	159.23	40	278		795		
153	18033	Jennings, Jauan	MIN	WR	159.60	94	242		851		
154	22099	Sampson, Dylan	CLE	RB	159.75	100	224		829		
155	19633	Okonkwo, Chig	WAS	TE	160.45	116	292		844		
156	1989	Seahawks, Seattle	SEA	TDSP	161.92	100	211		871		
157	20329	Spears, Tyjae	TEN	RB	163.65	97	220		831		
158	14968	Henry, Hunter	NE	TE	164.90	120	238		844		
159	19486	Pacheco, Isiah	DET	RB	164.91	94	282		834		
160	17019	Samuel Sr., Deebo	SF	WR	165.16	84	289		856		
161	1863	Broncos, Denver	DEN	TDSP	166.05	102	211		871		
162	20357	Tucker, Tre	LV	WR	168.01	111	246		853		
163	22939	Johnson, Emmett	KC	RB	168.45	93	299		829		
164	22935	Sadiq, Kenyon	NYJ	TE	168.72	97	239		831		
165	19715	Nailor, Jalen	LV	WR	169.39	99	336		843		
166	22948	Cooper Jr., Omar	NYJ	WR	172.94	113	302		831		
167	22074	Harris, Tre'	LAC	WR	177.10	111	277		834		
168	15293	Kamara, Alvin	NO	RB	177.11	106	270		831		
169	20281	Young, Bryce	CAR	QB	177.50	49	249		645		
170	17964	Jeudy, Jerry	CLE	WR	180.99	119	268		837		
171	17014	Hockenson, T.J.	MIN	TE	183.21	121	251		810		
172	19468	Robinson, Brian	ATL	RB	184.12	47	271		826		
173	16255	Schultz, Dalton	HOU	TE	184.31	93	240		792		
174	20279	Bigsby, Tank	PHI	RB	184.34	121	282		822		
175	1926	Patriots, New England	NE	TDSP	187.06	126	263		870		
176	22134	TeSlaa, Isaac	DET	WR	187.08	111	261		823		
177	14802	Brissett, Jacoby	ARZ	QB	188.28	48	274		649		
178	1961	Eagles, Philadelphia	PHI	TDSP	188.30	121	236		871		
179	22955	Washington Jr., Mike	LV	RB	189.04	100	332		812		
180	1898	Jaguars, Jacksonville	JAX	TDSP	193.48	139	237		869		
181	1919	Vikings, Minnesota	MIN	TDSP	194.51	131	240		860		
182	21355	Flournoy, Ryan	DAL	WR	194.94	117	309		771		
183	1968	Steelers, Pittsburgh	PIT	TDSP	195.42	128	238		863		
184	22058	Hunter, Travis	JAX	WR	195.58	84	305		818		
185	2964	Cowboys, Dallas	DAL	TK	196.60	86	175		513		
186	21315	Barner, AJ	SEA	TE	198.36	140	240		785		
187	22956	Williams, Antonio	WAS	WR	198.46	109	356		754		
188	21169	Vidal, Kimani	LAC	RB	199.46	121	298		798		
189	21154	Washington, Malik	MIA	WR	199.78	109	317		800		
190	1975	Chargers, Los Angeles (LAC)	LAC	TDSP	200.11	131	233		857		
191	21129	Mitchell, Adonai	NYJ	WR	200.27	123	322		810		
192	22943	Singleton, Nicholas	TEN	RB	203.68	80	275		792		
193	22928	Mendoza, Fernando	LV	QB	203.71	58	300		590		
194	22940	Allen, Kaytron	WAS	RB	203.77	98	296		776		
195	5712	Rodgers, Aaron	PIT	QB	204.33	44	317		606		
196	1807	Ravens, Baltimore	BAL	TDSP	205.60	142	246		847		
197	11818	Smith, Geno	NYJ	QB	205.73	58	333		589		
198	21001	Wilson, Emanuel	SEA	RB	208.48	93	347		726		
199	20326	Boutte, Kayshon	NE	WR	211.53	109	343		782		
200	20285	Tucker, Sean	TB	RB	212.52	134	301		762		
201	21132	Allen, Braelon	NYJ	RB	213.11	126	282		768		
202	4345	Texans, Houston	HOU	TK	213.21	80	223		513		
203	22123	Helm, Gunnar	TEN	TE	215.67	128	289		706		
204	21151	Davis, Ray	BUF	RB	215.76	142	304		717		
205	15306	Conner, James	ARZ	RB	217.25	88	359		712		
206	19477	Dulcich, Greg	MIA	TE	217.99	116	348		708		
207	2871	Browns, Cleveland	CLE	TDSP	218.43	133	276		696		
208	22092	Blue, Jaydon	DAL	RB	220.82	123	329		675		
209	17983	Aiyuk, Brandon	SF	WR	221.03	109	355		640		
210	1842	Bears, Chicago	CHI	TDSP	221.64	135	256		746		
211	23066	Stribling, De'Zhaun	SF	WR	222.69	102	338		618		
212	21127	Franklin, Troy	DEN	WR	223.16	88	312		673		
213	17975	Tagovailoa, Tua	ATL	QB	223.74	58	326		526		
214	2982	Seahawks, Seattle	SEA	TK	223.75	108	244		513		
215	21144	Lloyd, MarShawn	GB	RB	224.65	101	358		593		
216	2980	Chargers, Los Angeles (LAC)	LAC	TK	225.02	120	238		513		
217	2969	Jaguars, Jacksonville	JAX	TK	225.68	118	248		513		
218	19632	Otton, Cade	TB	TE	227.40	136	278		608		
219	22206	Ferguson, Terrance	LA	TE	228.17	128	298		628		
