Rank,Name,Team,Position,Proj Points,ADP,% Owned,% Started,Injury Status,Pass Yds,Pass TD,INT,Sacks,Rush Yds,Rush TD,Rush Att,Rec Yds,Rec TD,Rec,Fum Lost,2PT,FG Made,XP Made
1,Jahmyr Gibbs,DET,RB,364.98,1.35,99.93,99.77,ACTIVE,,,,,1375.88,14.39,275,546.41,3.38,67.9,1.26,,,
2,Bijan Robinson,ATL,RB,352.8,2.39,99.9,99.7,ACTIVE,,,,,1372.36,8.43,274,707.69,3.38,75.78,1.6,,,
3,Ja'Marr Chase,CIN,WR,337.39,4.3,99.91,99.28,QUESTIONABLE,,,,,20.88,0.14,4,1509.69,10.77,119.66,0.94,,,
4,Puka Nacua,LAR,WR,353.58,5.28,99.9,99.04,QUESTIONABLE,,,,,90.51,1.01,18,1585.88,9.72,123.08,0.94,,,
5,Jonathan Taylor,IND,RB,316.29,6.43,99.88,99.44,ACTIVE,,,,,1502.34,11.55,300,389.74,1.47,50.45,1.46,,,
6,Jaxon Smith-Njigba,SEA,WR,326.66,6.15,99.91,99.66,ACTIVE,,,,,25.17,0.17,5,1568.73,8.54,116.69,1.16,,,
7,Christian McCaffrey,SF,RB,341.77,7.66,99.89,98.96,QUESTIONABLE,,,,,1129.74,9.13,225,677.94,4.72,78.8,1.2,,,
8,Amon-Ra St. Brown,DET,WR,324.37,8.34,99.91,99.65,ACTIVE,,,,,13.47,0.12,2,1426.15,10.42,118.3,0.83,,,
9,James Cook III,BUF,RB,280.26,10.56,99.88,97.62,ACTIVE,,,,,1404.21,11.03,280,302.37,1.61,35.93,1.8,,,
10,De'Von Achane,MIA,RB,293.62,12.12,99.84,99.15,ACTIVE,,,,,1310.99,5.08,262,513.11,2.88,64.62,0.96,,,
11,CeeDee Lamb,DAL,WR,293.55,11.66,99.9,99.46,ACTIVE,,,,,12.66,0.1,2,1375.17,8.56,103.48,0.66,,,
12,Justin Jefferson,MIN,WR,294.67,12.63,99.87,99.38,ACTIVE,,,,,10.66,0.1,2,1373.45,7.44,111.49,0.69,,,
13,Omarion Hampton,LAC,RB,261.7,19.85,99.42,95.62,ACTIVE,,,,,1084.44,9.39,216,363.26,1.76,51.61,1.09,,,
14,Chase Brown,CIN,RB,271.69,17.64,99.43,95.16,ACTIVE,,,,,1035.94,7.38,207,434.96,2.85,64.26,1.16,,,
15,Saquon Barkley,PHI,RB,273.29,14.2,99.84,98.71,ACTIVE,,,,,1284.1,8.67,256,370.84,2.31,43.19,1.02,,,
16,Derrick Henry,BAL,RB,277.81,16.96,99.79,97.7,ACTIVE,,,,,1504.67,13.32,300,210,1.2,21.38,1.49,,,
17,Drake London,ATL,WR,269.78,19.91,99.72,97.46,ACTIVE,,,,,,,,1249.74,7.27,102.11,0.91,,,
18,Ashton Jeanty,LV,RB,280.83,21.42,99.63,95.12,QUESTIONABLE,,,,,1127.71,7.08,225,495.75,2.02,65.22,1.22,,,
19,A.J. Brown,NE,WR,249.19,21.92,99.63,92.78,ACTIVE,,,,,,,,1216.67,7.05,85.79,0.57,,,
20,Trey McBride,ARI,TE,241.66,22.34,99.87,99.4,ACTIVE,,,,,,,,1022.85,5.33,107.76,0.47,,,
21,Jeremiyah Love,ARI,RB,278.09,25.8,99.34,93.18,QUESTIONABLE,,,,,1126.28,6.62,225,488.09,2.24,65.13,1.31,,,
22,Brock Bowers,LV,TE,240.9,24,99.86,99.49,ACTIVE,,,,,15.41,0.19,3,998.44,6.56,98.83,0.35,,,
23,Nico Collins,HOU,WR,248.22,25.95,99.63,96.02,ACTIVE,,,,,11.81,0.08,2,1196.17,6.77,86.76,0.68,,,
24,Chris Olave,NO,WR,250.17,29.84,99.15,91.42,ACTIVE,,,,,,,,1196.04,6.62,91.35,0.62,,,
25,Kenneth Walker III,KC,RB,273.06,24.82,99.47,92.28,QUESTIONABLE,,,,,1239.02,9,247,376.03,1.68,48.28,0.89,,,
26,Josh Allen,BUF,QB,370.56,19.59,99.9,97.68,ACTIVE,3949.5,26.37,2.11,11.59,580.78,12.5,116,,,,4.2,,,
27,Rashee Rice,KC,WR,259.27,28.16,99.46,94.39,ACTIVE,,,,,42.82,0.59,8,1081.62,8.69,92.48,1.11,,,
28,George Pickens,DAL,WR,238.53,28.65,99.68,93.63,ACTIVE,,,,,,,,1111.32,8.15,79.62,0.89,,,
