Pick,Rank,Player,Pos,NFC ADP($),Consensus,Value,ESPN,Value,Sleeper,Value,Yahoo,Value
1.01,1,Ja'Marr Chase,WR,1.1,1.0,-0.1,1,-0.1,1,-0.1,1,-0.1
1.02,2,Bijan Robinson,RB,2.7,2.3,-0.3,2,-0.7,3,0.3,2,-0.7
1.05,3,Jahmyr Gibbs,RB,3.3,5.0,1.7,5,1.7,6,2.7,4,0.7
1.06,4,CeeDee Lamb,WR,4.3,5.7,1.3,6,1.7,5,0.7,6,1.7
1.03,5,Saquon Barkley,RB,4.8,3.0,-1.8,4,-0.8,2,-2.8,3,-1.8
1.04,6,Justin Jefferson,WR,5.2,4.0,-1.2,3,-2.2,4,-1.2,5,-0.2
1.09,7,Malik Nabers,WR,8.1,9.3,1.2,9,0.9,9,0.9,10,1.9
1.12,8,Ashton Jeanty,RB,9.1,12.0,3.0,11,2.0,12,3.0,13,4.0
1.08,9,Christian McCaffrey,RB,9.7,9.3,-0.4,7,-2.7,13,3.3,8,-1.7
2.02,10,Brian Thomas,WR,11.0,14.0,3.0,14,3.0,14,3.0,14,3.0
1.10,11,Amon-Ra St. Brown,WR,11.7,9.7,-2.0,10,-1.7,7,-4.7,12,0.3
2.03,12,De'Von Achane,RB,12.1,14.0,1.9,12,-0.1,15,2.9,15,2.9
1.07,13,Puka Nacua,WR,13.1,8.3,-4.7,8,-5.1,8,-5.1,9,-4.1
1.11,14,Nico Collins,WR,13.4,10.3,-3.0,13,-0.4,11,-2.4,7,-6.4
2.04,15,Drake London,WR,14.3,16.7,2.3,16,1.7,18,3.7,16,1.7
2.01,16,Derrick Henry,RB,14.4,13.3,-1.0,19,4.6,10,-4.4,11,-3.4
2.05,17,A.J. Brown,WR,19.6,17.7,-1.9,15,-4.6,17,-2.6,21,1.4
2.10,18,Ladd McConkey,WR,19.9,22.3,2.4,26,6.1,22,2.1,19,-0.9
3.05,19,Chase Brown,RB,20.1,28.3,8.3,32,12.0,30,10.0,23,3.0
2.08,20,Brock Bowers,TE,21.0,19.3,-1.6,20,-0.9,16,-5.0,22,1.1
2.09,21,Bucky Irving,RB,21.7,20.3,-1.3,22,0.3,19,-2.7,20,-1.7
2.07,22,Jonathan Taylor,RB,21.9,19.0,-2.9,17,-4.9,23,1.1,17,-4.9
3.09,23,Garrett Wilson,WR,22.1,34.0,11.9,36,13.9,32,9.9,34,11.9
2.06,24,Josh Jacobs,RB,22.3,18.7,-3.6,18,-4.3,20,-2.3,18,-4.3
3.04,25,Tyreek Hill,WR,26.2,28.0,1.8,25,-1.2,27,0.8,32,5.8
2.11,26,Trey McBride,TE,26.5,24.3,-2.1,21,-5.5,25,-1.5,27,0.5
3.06,27,Jaxon Smith-Njigba,WR,28.3,29.7,1.4,34,5.7,26,-2.3,29,0.7
3.03,28,Tee Higgins,WR,28.4,26.3,-2.1,24,-4.4,29,0.6,26,-2.4
4.06,29,Omarion Hampton,RB,29.1,41.3,12.2,38,8.9,43,13.9,43,13.9
3.02,30,Lamar Jackson,QB,30.3,26.0,-4.3,29,-1.3,24,-6.3,25,-5.3
4.05,31,Marvin Harrison,WR,30.7,41.3,10.6,46,15.3,36,5.3,42,11.3
3.01,32,Josh Allen,QB,31.1,25.7,-5.4,28,-3.1,21,-10.1,28,-3.1
2.12,33,Kyren Williams,RB,31.4,25.0,-6.4,23,-8.4,28,-3.4,24,-7.4
4.03,34,Breece Hall,RB,33.2,39.3,6.1,44,10.8,33,-0.2,41,7.8
3.08,35,Davante Adams,WR,34.0,33.7,-0.3,27,-7.0,41,7.1,33,-1.0
5.04,36,Xavier Worthy,WR,39.4,52.3,12.9,50,10.6,55,15.6,52,12.6
4.02,37,Mike Evans,WR,39.6,39.3,-0.2,45,5.4,37,-2.6,36,-3.6
4.09,38,Joe Burrow,QB,41.5,45.3,3.9,39,-2.5,40,-1.5,57,15.5
