"Player Name","Player Team","Player Position","DS Rank","Sleeper: Redraft 0.5 PPR ADP","Sleeper: Redraft 0.5 PPR ADP Market Index"
"Jahmyr Gibbs","DET","RB","1","1.1","0"
"Bijan Robinson","ATL","RB","2","1.2","0"
"Puka Nacua","LAR","WR","3","1.4","1"
"Ja'Marr Chase","CIN","WR","4","1.3","-1"
"Christian McCaffrey","SF","RB","5","1.5","0"
"Jaxon Smith-Njigba","SEA","WR","6","1.8","2"
"Amon-Ra St. Brown","DET","WR","7","1.7","0"
"Jonathan Taylor","IND","RB","8","1.6","-2"
"CeeDee Lamb","DAL","WR","9","1.10","1"
"James Cook","BUF","RB","10","1.9","-1"
"Justin Jefferson","MIN","WR","11","1.12","1"
"Ashton Jeanty","LVR","RB","12","1.11","-1"
"Saquon Barkley","PHI","RB","13","2.1","0"
"Drake London","ATL","WR","14","2.8","6"
"Derrick Henry","BAL","RB","15","2.5","2"
"A.J. Brown","NE","WR","16","2.7","3"
"Nico Collins","HOU","WR","17","2.12","7"
"Kenneth Walker III","KC","RB","18","2.6","0"
"George Pickens","DAL","WR","19","3.2","7"
"Josh Allen","BUF","QB","20","2.10","2"
"Rashee Rice","KC","WR","21","3.4","7"
"De'Von Achane","MIA","RB","22","2.2","-8"
"Omarion Hampton","LAC","RB","23","2.4","-7"
"Chase Brown","CIN","RB","24","2.3","-9"
"Brock Bowers","LVR","TE","25","2.9","-4"
"Trey McBride","ARI","TE","26","2.11","-3"
"Chris Olave","NO","WR","27","3.8","5"
"Malik Nabers","NYG","WR","28","3.7","3"
"Tee Higgins","CIN","WR","29","4.2","9"
"Zay Flowers","BAL","WR","30","4.6","12"
"Colston Loveland","CHI","TE","31","4.8","13"
"DeVonta Smith","PHI","WR","32","3.10","2"
"Josh Jacobs","GB","RB","33","3.5","-4"
"Jeremiyah Love","ARI","RB","35","3.1","-10"
"Garrett Wilson","NYJ","WR","36","4.7","7"
"Breece Hall","NYJ","RB","37","3.6","-7"
"Javonte Williams","DAL","RB","38","3.9","-5"
"Christian Watson","GB","WR","40","6.8","28"
"Jaylen Waddle","DEN","WR","41","4.11","6"
"Kyren Williams","LAR","RB","42","3.3","-15"
"Davante Adams","LAR","WR","43","5.10","15"
"Tyler Warren","IND","TE","44","5.2","6"
"Travis Etienne","NO","RB","45","4.5","-4"
"Tetairoa McMillan","CAR","WR","46","3.12","-10"
"Lamar Jackson","BAL","QB","47","3.11","-12"
"Emeka Egbuka","TB","WR","49","4.3","-10"
"Mike Evans","SF","WR","50","5.12","10"
"Luther Burden III","CHI","WR","51","5.8","5"
"Ladd McConkey","LAC","WR","52","4.4","-12"
"Terry McLaurin","WAS","WR","54","5.4","-2"
"Drake Maye","NE","QB","56","5.3","-5"
"D'Andre Swift","CHI","RB","58","5.5","-5"
"Jameson Williams","DET","WR","59","5.9","-2"
"Rome Odunze","CHI","WR","60","6.2","2"
"Jayden Daniels","WAS","QB","61","6.6","5"
"Cameron Skattebo","NYG","RB","62","4.1","-25"
"Tucker Kraft","GB","TE","63","6.7","4"
"David Montgomery","HOU","RB","64","5.1","-15"
"Joe Burrow","CIN","QB","65","5.6","-11"
"Jalen Hurts","PHI","QB","66","6.4","-2"
"Sam LaPorta","DET","TE","67","6.5","-2"
"Quinshon Judkins","CLE","RB","69","4.10","-23"
"D.J. Moore","BUF","WR","70","5.7","-15"
"Bucky Irving","TB","RB","71","4.9","-26"
"Harold Fannin Jr.","CLE","TE","72","6.12","0"
"Parker Washington","JAC","WR","73","7.3","2"
"Trevor Lawrence","JAC","QB","74","9.1","23"
"Justin Herbert","LAC","QB","75","7.7","4"
"Brock Purdy","SF","QB","76","10.8","40"
"Caleb Williams","CHI","QB","78","7.4","-2"
"Kyler Murray","MIN","QB","79","13.9","74"
"Dak Prescott","DAL","QB","80","8.5","9"
"D.K. Metcalf","PIT","WR","81","7.5","-4"
"TreVeyon Henderson","NE","RB","82","4.12","-34"
"Bhayshul Tuten","JAC","RB","83","5.11","-24"
"Rhamondre Stevenson","NE","RB","84","7.6","-6"
"Carnell Tate","TEN","WR","86","6.3","-23"
"Marvin Harrison Jr.","ARI","WR","87","7.1","-14"
"Jaxson Dart","NYG","QB","88","8.11","7"
"Jadarian Price","SEA","RB","89","6.1","-28"
"George Kittle","SF","TE","90","8.6","0"
"Josh Downs","IND","WR","91","10.2","19"
"Brian Thomas Jr.","JAC","WR","92","6.10","-22"
"Jaylen Warren","PIT","RB","94","6.9","-25"
"Courtland Sutton","DEN","WR","95","8.1","-10"
"Jayden Reed","GB","WR","96","9.8","8"
"Jonathon Brooks","CAR","RB","97","8.8","-5"
"Rico Dowdle","PIT","RB","98","7.11","-15"
"Bo Nix","DEN","QB","99","10.9","18"
"Tony Pollard","TEN","RB","100","7.10","-18"
"Kyle Pitts","ATL","TE","101","6.11","-30"
"Patrick Mahomes","KC","QB","102","9.9","3"
"J.K. Dobbins","DEN","RB","104","8.4","-16"
"Jordan Addison","MIN","WR","105","9.5","-4"
"Quentin Johnston","LAC","WR","106","9.6","-4"
"Jordan Mason","MIN","RB","108","9.7","-5"
"Michael Pittman Jr.","PIT","WR","115","9.4","-15"
"Jared Goff","DET","QB","116","11.9","13"
"Chuba Hubbard","CAR","RB","117","7.2","-43"
"Matthew Stafford","LAR","QB","119","10.1","-10"
"Jacory Croskey-Merritt","WAS","RB","120","9.3","-21"
"Jakobi Meyers","JAC","WR","121","10.4","-9"
"Blake Corum","LAR","RB","122","8.9","-29"
"Tyler Shough","NO","QB","123","14.11","44"
