Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,PHI,"Saquon Barkley",RB,17,1.02,9,-2.8%,58%,246.5,284,301,345.7,100
2,CIN,"Ja'Marr Chase",WR,17,1.01,10,0.4%,75%,238.3,271,287,330.2,98.8
3,ATL,"Bijan Robinson",RB,17,1.03,5,5.6%,42%,253.6,283,298,340.1,98.6
4,DET,"Jahmyr Gibbs",RB,17,1.04,8,-6.6%,63%,231.1,271,275,341.1,87.9
5,SF,"Christian McCaffrey",RB,17,1.07,14,4.4%,64%,202.3,257,289,338.1,87.5
6,DAL,"CeeDee Lamb",WR,17,1.06,10,-3.2%,50%,224.3,243,270,310.8,85.8
7,MIN,"Justin Jefferson",WR,17,1.05,6,-0.6%,67%,225.5,251,262,319.9,85.6
8,BAL,"Derrick Henry",RB,17,1.08,7,-4.3%,29%,231.3,261,275,322.2,83.8
9,LVR,"Ashton Jeanty",RB,17,1.10,8,-1.8%,0%,225.4,247,262,330.2,79
10,LAR,"Puka Nacua",WR,17,1.12,8,0.4%,68%,207.1,228,259,308,78.6
11,IND,"Jonathan Taylor",RB,17,2.06,11,0.8%,65%,225.6,245,254,334.6,77.2
12,HOU,"Nico Collins",WR,17,2.01,6,0.3%,82%,208,233,254,299.3,76.3
13,NYG,"Malik Nabers",WR,17,1.11,14,-2.7%,29%,206.7,233,249,308.7,76
14,JAC,"Brian Thomas Jr.",WR,17,2.03,8,-1.2%,30%,206.1,221,248,300.5,72.9
15,MIA,"De'Von Achane",RB,17,2.02,12,2.8%,83%,204.4,243,259,287.2,68.7
16,PHI,"A.J. Brown",WR,17,2.10,9,1.1%,71%,207.4,218,236,285.2,66.7
17,DET,"Amon-Ra St. Brown",WR,17,1.09,8,1%,40%,208.9,220,225,289.7,64.4
18,ATL,"Drake London",WR,17,2.05,5,1.4%,87%,206,217,234,273.9,63.9
19,GB,"Josh Jacobs",RB,17,2.04,5,-0.4%,80%,207.2,242,241,281.9,62.4
20,LAR,"Kyren Williams",RB,17,3.01,8,2.6%,89%,204.5,231,238,285.3,60.6
21,CIN,"Chase Brown",RB,17,2.12,10,-0.7%,24%,199.1,217,237,298.6,60.2
22,CIN,"Tee Higgins",WR,17,3.06,10,0.4%,89%,190.3,211,232,264.5,59.5
23,TB,"Bucky Irving",RB,17,2.07,9,2.1%,29%,195.1,234,241,269.8,58.4
24,BAL,"Lamar Jackson",QB,17,2.09,7,-3.5%,43%,339.8,366,382,416.1,55.7
25,LAC,"Omarion Hampton",RB,17,3.10,12,-3.4%,0%,176.9,197,227,310.8,54.6
26,MIA,"Tyreek Hill",WR,17,3.04,12,2.9%,59%,167.4,202,217,284.8,54.5
27,LVR,"Brock Bowers",TE,17,2.08,8,-6.5%,29%,175.8,195,217,236.5,54.4
28,WAS,"Jayden Daniels",QB,17,3.05,12,-2.3%,28%,334.1,361,384,414.8,54.4
29,SEA,"Kenneth Walker III",RB,17,4.06,8,3.4%,42%,192,202,231,279.9,52.9
30,BUF,"Josh Allen",QB,17,2.11,7,-0.1%,12%,337.3,366,375,419.8,52.8
31,BUF,"James Cook",RB,17,3.07,7,-1.9%,32%,196.7,212,231,266.1,52.4
32,PHI,"Jalen Hurts",QB,17,3.11,9,-0.5%,56%,332.9,356,378,412.3,50.5
33,NO,"Alvin Kamara",RB,17,4.04,11,6.9%,88%,177.7,206,234,261.9,50
34,LAC,"Ladd McConkey",WR,17,3.02,12,-0.8%,55%,181.1,205,206,265.4,49.9
35,ARI,"Trey McBride",TE,17,3.03,8,4.9%,47%,169.3,190,207,221,49.7
36,TB,"Mike Evans",WR,17,4.05,9,0.7%,82%,178.7,198,215,243.2,48
37,CAR,"Chuba Hubbard",RB,17,4.08,14,3.4%,30%,175.8,202,223,258.1,45.5
38,SF,"George Kittle",TE,17,3.12,14,3.6%,81%,159.8,188,188,229.3,45.4
39,ARI,"James Conner",RB,17,4.10,8,4.7%,88%,162.6,196,229,256.5,44.9
40,LAR,"Davante Adams",WR,17,4.07,8,0.4%,44%,166.8,202,203,244,43.6
41,NYJ,"Breece Hall",RB,17,3.09,9,5%,48%,185,195,210,273.3,43.6
42,ARI,"Marvin Harrison Jr.",WR,17,4.03,8,0.9%,43%,168.2,194,193,247.5,40.3
43,CHI,"D.J. Moore",WR,17,4.12,5,0.5%,45%,166.3,183,196,238.7,38.7
44,PIT,"D.K. Metcalf",WR,17,4.11,5,1.9%,31%,167.3,189,197,232.2,38.7
45,NYJ,"Garrett Wilson",WR,17,4.01,9,3%,38%,169.6,183,191,245.8,38.5
46,WAS,"Terry McLaurin",WR,17,4.09,12,-0.2%,43%,165.4,189,197,232.3,38.5
47,SEA,"Jaxon Smith-Njigba",WR,17,3.08,8,1.5%,40%,176.6,186,194,230.9,38.1
48,CAR,"Tetairoa McMillan",WR,17,6.03,14,2%,0%,158.2,171,195,248,37.6
49,KC,"Xavier Worthy",WR,17,5.09,10,0.6%,37%,162,176,191,247.8,37.3
50,MIA,"Jaylen Waddle",WR,17,7.01,12,2.9%,55%,157.7,165,195,237.5,35.4
51,PHI,"DeVonta Smith",WR,17,5.02,9,1.1%,82%,165,180,188,234.4,35.1
52,CIN,"Joe Burrow",QB,17,4.02,10,-4.8%,63%,316.3,340,368,382.5,34.6
53,DET,"Jameson Williams",WR,17,6.04,8,1%,43%,158.7,165,189,243.6,34.5
54,DEN,"Courtland Sutton",WR,17,5.01,12,-1.3%,70%,169.9,180,193,216.3,34.1
55,DAL,"George Pickens",WR,17,6.06,10,-3.2%,35%,157.9,169,188,236.9,33.4
56,BAL,"Zay Flowers",WR,17,5.10,7,1.2%,36%,169.3,170,192,213.5,32.2
57,DET,"Sam LaPorta",TE,17,5.06,8,2.9%,54%,143.4,147,158,208,32.1
58,DET,"David Montgomery",RB,17,5.04,8,-6.6%,81%,161.5,175,199,239.3,30.5
59,NE,"TreVeyon Henderson",RB,17,5.07,14,3.7%,0%,144.8,176,191,245.8,29
60,KC,"Isiah Pacheco",RB,17,5.12,10,-1%,90%,139.7,164,197,243.9,28.9
61,JAC,"Travis Hunter",WR,17,6.12,8,-1.2%,0%,131,155,177,253.2,28.9
62,TEN,"Calvin Ridley",WR,17,6.10,10,1.2%,29%,149.3,167,187,210.9,28.8
63,KC,"Rashee Rice",WR,11,5.08,10,0.6%,37%,115.7,182,181,226,27.6
64,WAS,"Deebo Samuel",WR,17,7.11,12,-0.2%,87%,148.7,158,184,211.1,27.4
65,IND,"Zaire Franklin",LB,17,,11,9.6%,0%,120.2,154,154,184.9,26.9
66,TEN,"Tony Pollard",RB,17,6.01,10,-0.4%,35%,142.8,175,185,233.7,26.8
67,DEN,"RJ Harvey",RB,17,5.05,12,-3%,0%,139.5,163,184,242.4,26.8
68,KC,"Travis Kelce",TE,17,6.02,10,-8.1%,36%,119.8,140,156,182,26.7
69,CHI,"D'Andre Swift",RB,17,5.11,5,-3.4%,67%,131.1,174,185,236.3,26.5
70,NO,"Chris Olave",WR,17,7.04,11,-1%,69%,135.5,155,176,225.2,26
71,BAL,"Mark Andrews",TE,17,7.03,7,4.6%,61%,128.5,134,146,191.3,25.7
72,CHI,"Rome Odunze",WR,17,7.08,5,0.5%,61%,150.1,151,163,239.9,25.5
73,MIN,"T.J. Hockenson",TE,17,6.05,6,-5.3%,40%,130.9,139,145,186.2,25.3
