Avg. ADP,Player,Pos,Vegas Proj.,FP Proj.,Difference
1.0,Ja'Marr Chase,WR,249.10,292.60,-43.50
2.3,Bijan Robinson,RB,255.85,293.30,-37.45
2.7,Saquon Barkley,RB,265.60,294.60,-29.00
4.3,Justin Jefferson,WR,228.90,255.10,-26.20
4.7,Jahmyr Gibbs,RB,246.85,287.60,-40.75
6.0,CeeDee Lamb,WR,228.40,247.60,-19.20
8.7,Amon-Ra St. Brown,WR,210.50,234.10,-23.60
9.0,Christian McCaffrey,RB,235.55,262.10,-26.55
9.0,Derrick Henry,RB,240.55,260.50,-19.95
10.0,Puka Nacua,WR,209.90,238.60,-28.70
10.7,Malik Nabers,WR,209.30,237.30,-28.00
11.0,Ashton Jeanty,RB,222.95,241.40,-18.45
11.7,Nico Collins,WR,191.40,229.60,-38.20
14.3,De'Von Achane,RB,218.35,249.40,-31.05
14.7,Brian Thomas Jr.,WR,201.10,228.70,-27.60
17.7,Josh Jacobs,RB,221.05,248.30,-27.25
18.3,Brock Bowers,TE,177.40,202.40,-25.00
18.7,Jonathan Taylor,RB,223.55,244.40,-20.85
18.7,Drake London,WR,201.40,219.50,-18.10
19.0,AJ Brown,WR,192.30,215.10,-22.80
21.0,Josh Allen,QB,360.07,376.90,-16.83
21.0,Bucky Irving,RB,208.65,228.50,-19.85
21.7,Lamar Jackson,QB,341.07,374.10,-33.03
25.7,Chase Brown,RB,199.60,228.70,-29.10
25.7,Trey McBride,TE,164.10,191.80,-27.70
26.0,Ladd McConkey,WR,182.50,209.10,-26.60
28.3,Kyren Williams,RB,203.15,234.70,-31.55
28.3,Tee Higgins,WR,180.80,205.00,-24.20
28.7,Jayden Daniels,QB,317.57,355.70,-38.13
29.3,Tyreek Hill,WR,182.30,215.40,-33.10
31.7,James Cook,RB,198.25,217.20,-18.95
32.0,Jalen Hurts,QB,328.07,358.70,-30.63
32.3,Jaxon SmithNjigba,WR,185.00,197.70,-12.70
34.0,George Kittle,TE,161.80,184.90,-23.10
36.7,Garrett Wilson,WR,162.50,188.00,-25.50
37.0,Joe Burrow,QB,317.02,342.10,-25.08
38.7,Mike Evans,WR,175.30,205.60,-30.30
39.7,Omarion Hampton,RB,189.65,199.10,-9.45
40.0,Davante Adams,WR,183.80,201.70,-17.90
40.0,Marvin Harrison,WR,172.90,192.50,-19.60
40.7,Terry McLaurin,WR,194.70,196.90,-2.20
41.0,Breece Hall,RB,182.60,203.80,-21.20
41.3,Alvin Kamara,RB,184.60,211.10,-26.50
43.3,Chuba Hubbard,RB,186.85,201.20,-14.35
46.3,DK Metcalf,WR,166.90,193.80,-26.90
47.0,Sam LaPorta,TE,134.30,150.70,-16.40
48.3,Patrick Mahomes,QB,303.52,328.90,-25.38
48.7,James Conner,RB,191.25,205.70,-14.45
51.3,DJ Moore,WR,181.40,187.30,-5.90
54.0,Xavier Worthy,WR,182.00,185.00,-3.00
54.7,Courtland Sutton,WR,162.80,182.80,-20.00
54.7,David Montgomery,RB,164.55,182.40,-17.85
54.7,TJ Hockenson,TE,127.80,141.60,-13.80
55.0,DeVonta Smith,WR,170.20,178.20,-8.00
56.3,Zay Flowers,WR,153.60,183.70,-30.10
56.7,Rashee Rice,WR,168.20,152.90,15.30
58.3,TreVeyon Henderson,RB,167.75,176.90,-9.15
58.7,Travis Kelce,TE,131.40,147.60,-16.20
60.3,George Pickens,WR,155.40,173.30,-17.90
61.0,Baker Mayfield,QB,297.52,318.10,-20.58
64.0,Jameson Williams,WR,163.00,173.60,-10.60
64.3,Isiah Pacheco,RB,152.35,161.60,-9.25
64.3,RJ Harvey,RB,171.05,161.30,9.75
65.3,DAndre Swift,RB,159.35,184.90,-25.55
66.7,Jaylen Waddle,WR,154.60,164.40,-9.80
68.7,Bo Nix,QB,289.22,308.80,-19.58
68.7,Mark Andrews,TE,126.95,144.10,-17.15
69.0,Tony Pollard,RB,176.05,180.00,-3.95
69.3,Tetairoa McMillan,WR,146.00,166.10,-20.10
69.7,Calvin Ridley,WR,159.10,176.70,-17.60
70.0,Aaron Jones,RB,153.55,180.20,-26.65
70.3,Travis Hunter,WR,137.60,155.70,-18.10
74.3,Joe Mixon,RB,144.00,154.80,-10.80
75.7,Jerry Jeudy,WR,148.10,174.60,-26.50
77.7,David Njoku,TE,118.30,140.20,-21.90
79.3,Kaleb Johnson,RB,157.55,153.40,4.15
79.7,Rome Odunze,WR,151.30,152.70,-1.40
79.7,Evan Engram,TE,117.80,120.70,-2.90
80.0,Chris Olave,WR,137.30,156.70,-19.40
85.3,Tyrone Tracy,RB,148.00,157.60,-9.60
86.7,Jakobi Meyers,WR,151.21,169.40,-18.19
87.0,Brock Purdy,QB,283.22,311.80,-28.58
87.3,Kyler Murray,QB,280.57,317.30,-36.73
89.0,Brian Robinson,RB,66.20,71.60,-5.40
89.3,Stefon Diggs,WR,133.90,155.90,-22.00
90.3,Jordan Addison,WR,130.65,146.10,-15.45
90.7,Jaylen Warren,RB,144.55,152.80,-8.25
91.7,Deebo Samuel,WR,148.55,164.30,-15.75
91.7,Chris Godwin,WR,143.20,145.30,-2.10
92.0,Quinshon Judkins,RB,122.70,133.20,-10.50
94.0,Cooper Kupp,WR,135.15,148.70,-13.55
99.3,Justin Herbert,QB,265.42,291.40,-25.98
100.3,Matthew Golden,WR,135.60,156.40,-20.80
101.3,Ricky Pearsall,WR,149.05,147.80,1.25
101.7,Tucker Kraft,TE,120.55,120.10,0.45
102.0,Dak Prescott,QB,272.92,291.70,-18.78
103.0,Jared Goff,QB,267.32,286.60,-19.28
104.3,Emeka Egbuka,WR,147.75,141.10,6.65
104.7,Jauan Jennings,WR,143.00,154.00,-11.00
105.0,Tyler Warren,TE,114.90,126.90,-12.00
106.0,JK Dobbins,RB,143.50,131.30,12.20
107.3,Travis Etienne,RB,140.70,135.70,5.00
108.3,Khalil Shakir,WR,136.30,145.90,-9.60
110.3,Jordan Mason,RB,131.50,126.30,5.20
112.3,Jayden Reed,WR,139.05,145.70,-6.65
114.0,Cam Skattebo,RB,117.70,106.80,10.90
115.3,Justin Fields,QB,245.07,299.80,-54.73
116.3,Rhamondre Stevenson,RB,123.05,127.70,-4.65
117.0,Dalton Kincaid,TE,106.80,112.20,-5.40
117.0,Colston Loveland,TE,102.30,104.20,-1.90
119.7,Javonte Williams,RB,102.65,128.90,-26.25
120.0,Caleb Williams,QB,286.07,288.30,-2.23
122.7,Dallas Goedert,TE,108.95,114.30,-5.35
124.7,Zach Charbonnet,RB,133.55,130.40,3.15
127.7,Drake Maye,QB,265.07,275.70,-10.63
127.7,Michael Pittman,WR,130.30,151.70,-21.40
127.7,Josh Downs,WR,131.20,138.30,-7.10
128.3,Kyle Pitts,TE,97.30,114.70,-17.40
128.7,Jake Ferguson,TE,108.55,116.70,-8.15
129.7,CJ Stroud,QB,254.62,280.40,-25.78
131.3,Tank Bigsby,RB,90.50,110.10,-19.60
133.3,Keon Coleman,WR,127.15,144.70,-17.55
135.0,Jordan Love,QB,258.62,278.30,-19.68
136.7,Jonnu Smith,TE,96.10,98.50,-2.40
140.0,JJ McCarthy,QB,271.52,292.60,-21.08
